FSC-A	FSC-H	SSC-A	SSC-H	CD16 FITC	CD56 PE	DAPI	Time	Plate#	Well position	Sample name
128920.5	78376.0	128199.266	56859.0	941.76	178.5	274.12	30560.3	LCE123	D7	NKC_085
147151.8	72669.0	93021.695	55798.0	907.97003	76.5	170.88	30949.1	LCE123	D6	NKC_085
94767.3	66319.0	44355.37	32236.0	98.100006	21920.82	20.47	31114.7	LCE123	D5	NKC_085
88636.5	65326.0	45469.35	31304.0	116.630005	25122.6	50.73	31296.0	LCE123	D4	NKC_085
104984.09	76221.0	33456.46	23466.0	111.18	36914.82	41.829998	31482.6	LCE123	D3	NKC_085
88404.3	62985.0	71832.09	42362.0	118.810005	26863.74	89.0	31668.0	LCE123	D2	NKC_085
100629.0	73338.0	38680.832	26409.0	98.100006	34449.48	6.23	31866.8	LCE123	D1	NKC_085
69674.4	56826.0	32775.21	24829.0	46.870003	8343.6	7.12	32053.2	LCE123	E1	NKC_085
81069.3	64829.0	20377.55	17508.0	56.68	11671.859	31.15	32240.6	LCE123	E2	NKC_085
89991.9	65424.0	43204.332	31069.0	91.560005	27500.219	14.24	32434.2	LCE123	E3	NKC_085
125665.195	79709.0	44535.223	27330.0	76.3	19494.24	45.39	32637.5	LCE123	E4	NKC_085
116998.195	75559.0	50453.92	31672.0	80.66	14615.58	20.47	32826.9	LCE123	E5	NKC_085
96977.695	64067.0	55424.32	36527.0	894.89	57.12	113.03	34228.0	LCE123	E6	NKC_085
119633.4	83025.0	66151.016	41996.0	824.04004	38.76	104.13	34467.5	LCE123	E7	NKC_085
116158.5	65660.0	101817.99	53614.0	656.18	71.4	197.58	35473.1	LCE123	E8	NKC_085
89430.3	69480.0	30623.55	21807.0	4086.4102	57.12	32.04	35836.5	LCE123	E9	NKC_085
105861.59	74890.0	53966.992	35481.0	5095.75	-9.18	49.84	36623.6	LCE123	E10	NKC_085
116996.4	72860.0	100757.42	57179.0	547.18	92.82	207.37	36926.2	LCE123	E11	NKC_085
112405.5	75275.0	80180.41	50507.0	1063.8401	156.06	218.94	37243.5	LCE123	E12	NKC_085
139983.3	80900.0	63415.113	33866.0	162.41	49.98	312.38998	37398.6	LCE123	E13	NKC_085
146405.7	73101.0	56008.562	30075.0	63.22	76.5	204.7	37581.0	LCE123	E14	NKC_085
121781.695	80964.0	73794.09	46946.0	58.86	62.219997	99.68	37772.9	LCE123	E15	NKC_085
212930.1	103914.0	157594.39	84923.0	151.51001	79.56	198.47	37963.0	LCE123	E16	NKC_085
150299.1	79137.0	73464.914	47417.0	73.03	141.78	314.16998	38155.1	LCE123	E17	NKC_085
152385.3	91410.0	90375.17	49133.0	64.310005	43.86	-119.259995	38346.2	LCE123	E18	NKC_085
124775.09	80693.0	68364.805	42151.0	86.11	57.12	101.46	38536.1	LCE123	E19	NKC_085
